,nationality,order,seasonal_order
97,Kiribati,"(1, 0, 2)","(0, 0, 3, 4)"
98,Korea (North),"(0, 1, 3)","(0, 1, 3, 4)"
99,Korea (South),"(1, 0, 3)","(2, 0, 3, 4)"
100,Kosovo,"(0, 2, 3)","(2, 2, 3, 4)"
101,Kuwait,"(0, 1, 3)","(3, 2, 3, 4)"
102,Kyrgyzstan,"(2, 2, 3)","(1, 2, 3, 4)"
103,Laos,"(0, 2, 3)","(1, 2, 3, 4)"
104,Latvia,"(0, 1, 3)","(0, 1, 3, 4)"
105,Lebanon,"(0, 2, 3)","(1, 2, 3, 4)"
106,Lesotho,"(2, 1, 3)","(0, 1, 3, 4)"
107,Liberia,"(2, 0, 2)","(1, 0, 3, 4)"
108,Libya,"(1, 0, 3)","(2, 0, 3, 4)"
109,Liechtenstein,"(1, 1, 2)","(2, 1, 0, 4)"
110,Lithuania,"(0, 1, 3)","(0, 1, 3, 4)"
111,Luxembourg,"(0, 1, 3)","(0, 1, 3, 4)"
112,Macau,"(0, 1, 3)","(0, 1, 3, 4)"
113,Macedonia,"(1, 0, 3)","(1, 0, 3, 4)"
114,Madagascar,"(2, 2, 3)","(0, 2, 3, 4)"
115,Malawi,"(0, 0, 3)","(1, 0, 3, 4)"
116,Malaysia,"(0, 1, 3)","(2, 1, 3, 4)"
117,Maldives,"(2, 1, 3)","(2, 1, 3, 4)"
118,Mali,"(2, 1, 3)","(0, 1, 3, 4)"
119,Malta,"(0, 1, 3)","(0, 1, 3, 4)"
120,Marshall Islands,"(0, 0, 0)","(3, 0, 0, 4)"
121,Mauritania,"(2, 0, 3)","(0, 1, 3, 4)"
122,Mauritius,"(0, 1, 3)","(2, 1, 3, 4)"
123,Mexico,"(0, 1, 3)","(2, 1, 3, 4)"
124,Micronesia,"(1, 0, 1)","(3, 0, 3, 4)"
125,Moldova,"(0, 1, 3)","(2, 1, 3, 4)"
126,Monaco,"(3, 0, 3)","(2, 0, 3, 4)"
127,Mongolia,"(0, 0, 3)","(3, 0, 3, 4)"
128,Montenegro,"(3, 1, 3)","(0, 1, 3, 4)"
129,Montserrat (British),"(3, 0, 3)","(2, 0, 3, 4)"
130,Morocco,"(2, 0, 3)","(1, 0, 3, 4)"
131,Mozambique,"(0, 2, 3)","(2, 2, 3, 4)"
132,Namibia,"(0, 1, 3)","(0, 1, 3, 4)"
133,Nauru,"(0, 0, 0)","(2, 0, 3, 4)"
134,Nepal,"(0, 1, 3)","(3, 1, 3, 4)"
135,Netherlands,"(0, 1, 3)","(0, 1, 3, 4)"
136,New Zealand,"(0, 2, 3)","(1, 2, 3, 4)"
137,Nicaragua,"(0, 0, 3)","(3, 1, 3, 4)"
138,Niger,"(1, 0, 3)","(2, 0, 3, 4)"
139,Nigeria,"(3, 2, 3)","(0, 2, 3, 4)"
140,Niue,"(0, 0, 0)","(2, 0, 3, 4)"
141,Norway,"(0, 1, 3)","(0, 1, 3, 4)"
142,Occupied Palestinian Territories,"(1, 0, 3)","(3, 0, 3, 4)"
143,Oman,"(0, 1, 3)","(0, 1, 3, 4)"
144,Other and unknown,"(2, 1, 3)","(0, 2, 3, 4)"
145,Pakistan,"(3, 1, 3)","(0, 1, 3, 4)"
146,Panama,"(1, 0, 3)","(1, 0, 3, 4)"
147,Papua New Guinea,"(1, 1, 3)","(0, 1, 3, 4)"
148,Paraguay,"(0, 1, 3)","(2, 1, 3, 4)"
149,Peru,"(0, 1, 3)","(0, 1, 3, 4)"
150,Philippines,"(3, 2, 3)","(0, 2, 3, 4)"
151,Pitcairn Islands (British),"(0, 0, 2)","(0, 0, 1, 4)"
152,Poland,"(0, 1, 3)","(0, 1, 3, 4)"
153,Portugal,"(3, 2, 3)","(1, 2, 3, 4)"
154,Qatar,"(0, 1, 3)","(2, 1, 3, 4)"
155,Refugee,"(0, 2, 3)","(0, 2, 3, 4)"
156,Romania,"(2, 0, 3)","(1, 0, 3, 4)"
157,Russia,"(3, 2, 3)","(0, 2, 3, 4)"
158,Rwanda,"(0, 1, 3)","(2, 1, 3, 4)"
159,Samoa,"(2, 1, 3)","(0, 1, 3, 4)"
160,San Marino,"(0, 0, 3)","(0, 1, 3, 4)"
161,Sao Tome and Principe,"(2, 0, 3)","(1, 1, 3, 4)"
162,Saudi Arabia,"(2, 1, 3)","(3, 1, 3, 4)"
163,Senegal,"(0, 1, 3)","(3, 1, 3, 4)"
164,Serbia,"(0, 2, 3)","(2, 2, 3, 4)"
165,Serbia and Montenegro,"(0, 1, 0)","(0, 0, 2, 4)"
166,Seychelles,"(0, 1, 3)","(0, 1, 3, 4)"
167,Sierra Leone,"(0, 1, 3)","(0, 1, 3, 4)"
168,Singapore,"(0, 1, 3)","(1, 1, 3, 4)"
169,Slovakia,"(0, 1, 3)","(0, 1, 3, 4)"
170,Slovenia,"(2, 1, 3)","(1, 1, 3, 4)"
171,Solomon Islands,"(0, 0, 3)","(3, 1, 3, 4)"
172,Somalia,"(3, 1, 3)","(2, 1, 3, 4)"
173,South Africa,"(0, 1, 3)","(2, 1, 3, 4)"
174,Spain,"(0, 1, 3)","(0, 1, 3, 4)"
175,Sri Lanka,"(1, 0, 3)","(1, 0, 3, 4)"
176,St. Kitts and Nevis,"(3, 1, 3)","(0, 1, 3, 4)"
177,St. Lucia,"(0, 1, 3)","(1, 1, 3, 4)"
178,St. Vincent and the Grenadines,"(3, 1, 3)","(2, 1, 3, 4)"
179,Stateless,"(2, 1, 3)","(0, 1, 3, 4)"
180,Sudan,"(0, 1, 3)","(0, 1, 3, 4)"
181,Sudan (South),"(0, 1, 3)","(3, 1, 3, 4)"
182,Surinam,"(1, 1, 3)","(0, 1, 3, 4)"
183,Swaziland,"(0, 1, 3)","(2, 1, 3, 4)"
184,Sweden,"(0, 1, 3)","(0, 1, 3, 4)"
185,Switzerland,"(0, 1, 3)","(0, 1, 3, 4)"
186,Syria,"(0, 1, 3)","(2, 1, 3, 4)"
187,Taiwan,"(0, 1, 3)","(2, 2, 3, 4)"
188,Tajikistan,"(3, 0, 3)","(0, 0, 3, 4)"
189,Tanzania,"(1, 2, 3)","(2, 2, 3, 4)"
190,Thailand,"(2, 0, 3)","(1, 0, 3, 4)"
191,Togo,"(3, 1, 3)","(0, 1, 3, 4)"
192,Tonga,"(2, 1, 3)","(2, 1, 3, 4)"
193,Trinidad and Tobago,"(2, 1, 3)","(0, 1, 3, 4)"
194,Tunisia,"(2, 2, 3)","(0, 2, 3, 4)"
195,Turkey,"(3, 2, 3)","(0, 2, 3, 4)"
196,Turkmenistan,"(0, 2, 3)","(0, 2, 3, 4)"
197,Turks and Caicos Islands (British),"(0, 0, 0)","(3, 0, 3, 4)"
198,Tuvalu,"(1, 0, 2)","(2, 0, 3, 4)"
199,Uganda,"(0, 2, 3)","(1, 2, 3, 4)"
200,Ukraine,"(3, 2, 3)","(2, 2, 3, 4)"
201,United Arab Emirates,"(0, 1, 3)","(0, 1, 3, 4)"
202,United States,"(3, 0, 0)","(3, 0, 0, 4)"
203,Uruguay,"(2, 0, 3)","(2, 0, 3, 4)"
204,Uzbekistan,"(0, 0, 3)","(3, 0, 3, 4)"
205,Vanuatu,"(3, 2, 3)","(1, 2, 3, 4)"
206,Vatican City,"(3, 0, 3)","(3, 1, 2, 4)"
207,Venezuela,"(0, 2, 3)","(1, 2, 3, 4)"
208,Vietnam,"(0, 2, 3)","(1, 2, 3, 4)"
209,Virgin Islands (British),"(0, 0, 0)","(0, 0, 0, 4)"
210,Yemen,"(0, 1, 3)","(1, 1, 3, 4)"
211,Zambia,"(0, 2, 3)","(1, 2, 3, 4)"
212,Zimbabwe,"(0, 2, 3)","(0, 2, 3, 4)"
